729C011	T	Start Streaming
C70D033	S	C01,P02,FGN,ET 5.60 sec,T 4.40 sec,P 3.006649 bar
CC0E033	S	C01,P02,FGN,ET 5.65 sec,T 4.35 sec,P 3.006360 bar
380F033	S	C01,P02,FGN,ET 5.70 sec,T 4.30 sec,P 3.006069 bar
E910033	S	C01,P02,FGN,ET 5.75 sec,T 4.25 sec,P 3.005774 bar
0B11033	S	C01,P02,FGN,ET 5.80 sec,T 4.20 sec,P 3.005475 bar
0712033	S	C01,P02,FGN,ET 5.85 sec,T 4.15 sec,P 3.005175 bar
6913033	S	C01,P02,FGN,ET 5.90 sec,T 4.10 sec,P 3.004879 bar
6814033	S	C01,P02,FGN,ET 5.95 sec,T 4.05 sec,P 3.004585 bar
EF15033	S	C01,P02,FGN,ET 6.00 sec,T 4.00 sec,P 3.004289 bar
1716033	S	C01,P02,FGN,ET 6.05 sec,T 3.95 sec,P 3.003991 bar
4B17033	S	C01,P02,FGN,ET 6.10 sec,T 3.90 sec,P 3.003698 bar
FB18033	S	C01,P02,FGN,ET 6.15 sec,T 3.85 sec,P 3.003405 bar
1119033	S	C01,P02,FGN,ET 6.20 sec,T 3.80 sec,P 3.003109 bar
201A033	S	C01,P02,FGN,ET 6.25 sec,T 3.75 sec,P 3.002814 bar
1F1B033	S	C01,P02,FGN,ET 6.30 sec,T 3.70 sec,P 3.002521 bar
591C033	S	C01,P02,FGN,ET 6.35 sec,T 3.65 sec,P 3.002230 bar
561D033	S	C01,P02,FGN,ET 6.40 sec,T 3.60 sec,P 3.001937 bar
251E033	S	C01,P02,FGN,ET 6.45 sec,T 3.55 sec,P 3.001645 bar
041F033	S	C01,P02,FGN,ET 6.50 sec,T 3.50 sec,P 3.001353 bar
9F20033	S	C01,P02,FGN,ET 6.55 sec,T 3.45 sec,P 3.001064 bar
0221033	S	C01,P02,FGN,ET 6.60 sec,T 3.40 sec,P 3.000775 bar
2F22033	S	C01,P02,FGN,ET 6.65 sec,T 3.35 sec,P 3.000531 bar
E623033	S	C01,P02,FGN,ET 6.70 sec,T 3.30 sec,P 3.000299 bar
A724033	S	C01,P02,FGN,ET 6.75 sec,T 3.25 sec,P 3.000092 bar
6B25033	S	C01,P02,FGN,ET 6.80 sec,T 3.20 sec,P 2.999881 bar
8F26033	S	C01,P02,FGN,ET 6.85 sec,T 3.15 sec,P 2.999652 bar
5727033	S	C01,P02,FGN,ET 6.90 sec,T 3.10 sec,P 2.999477 bar
2928033	S	C01,P02,FGN,ET 6.95 sec,T 3.05 sec,P 2.999270 bar
5829033	S	C01,P02,FGN,ET 7.00 sec,T 3.00 sec,P 2.999071 bar
6D2A033	S	C01,P02,FGN,ET 7.05 sec,T 2.95 sec,P 2.998911 bar
E92B033	S	C01,P02,FGN,ET 7.10 sec,T 2.90 sec,P 2.998717 bar
352C033	S	C01,P02,FGN,ET 7.15 sec,T 2.85 sec,P 2.998527 bar
162D033	S	C01,P02,FGN,ET 7.20 sec,T 2.80 sec,P 2.998372 bar
AC2E033	S	C01,P02,FGN,ET 7.25 sec,T 2.75 sec,P 2.998202 bar
9C2F033	S	C01,P02,FGN,ET 7.30 sec,T 2.70 sec,P 2.998040 bar
A430033	S	C01,P02,FGN,ET 7.35 sec,T 2.65 sec,P 2.997901 bar
6931033	S	C01,P02,FGN,ET 7.40 sec,T 2.60 sec,P 2.997780 bar
9932033	S	C01,P02,FGN,ET 7.45 sec,T 2.55 sec,P 2.997656 bar
D733033	S	C01,P02,FGN,ET 7.50 sec,T 2.50 sec,P 2.997521 bar
0434033	S	C01,P02,FGN,ET 7.55 sec,T 2.45 sec,P 2.997430 bar
1E35033	S	C01,P02,FGN,ET 7.60 sec,T 2.40 sec,P 2.997357 bar
7E36033	S	C01,P02,FGN,ET 7.65 sec,T 2.35 sec,P 2.997257 bar
4F37033	S	C01,P02,FGN,ET 7.70 sec,T 2.30 sec,P 2.997181 bar
8638033	S	C01,P02,FGN,ET 7.75 sec,T 2.25 sec,P 2.997198 bar
E939033	S	C01,P02,FGN,ET 7.80 sec,T 2.20 sec,P 2.997177 bar
3E3A033	S	C01,P02,FGN,ET 7.85 sec,T 2.15 sec,P 2.997184 bar
253B033	S	C01,P02,FGN,ET 7.90 sec,T 2.10 sec,P 2.997175 bar
AB3C033	S	C01,P02,FGN,ET 7.95 sec,T 2.05 sec,P 2.997215 bar
703D033	S	C01,P02,FGN,ET 8.00 sec,T 2.00 sec,P 2.997266 bar
EB3E033	S	C01,P02,FGN,ET 8.05 sec,T 1.95 sec,P 2.997331 bar
FC3F033	S	C01,P02,FGN,ET 8.10 sec,T 1.90 sec,P 2.997544 bar
AE40033	S	C01,P02,FGN,ET 8.15 sec,T 1.85 sec,P 2.997666 bar
6541033	S	C01,P02,FGN,ET 8.20 sec,T 1.80 sec,P 2.997798 bar
AA42033	S	C01,P02,FGN,ET 8.25 sec,T 1.75 sec,P 2.997972 bar
3443033	S	C01,P02,FGN,ET 8.30 sec,T 1.70 sec,P 2.998163 bar
F244033	S	C01,P02,FGN,ET 8.35 sec,T 1.65 sec,P 2.998409 bar
5445033	S	C01,P02,FGN,ET 8.40 sec,T 1.60 sec,P 2.998692 bar
AD46033	S	C01,P02,FGN,ET 8.45 sec,T 1.55 sec,P 2.998991 bar
D847033	S	C01,P02,FGN,ET 8.50 sec,T 1.50 sec,P 2.999346 bar
A248033	S	C01,P02,FGN,ET 8.55 sec,T 1.45 sec,P 2.999709 bar
4A49033	S	C01,P02,FGN,ET 8.60 sec,T 1.40 sec,P 3.000141 bar
E84A033	S	C01,P02,FGN,ET 8.65 sec,T 1.35 sec,P 3.000774 bar
1C4B033	S	C01,P02,FGN,ET 8.70 sec,T 1.30 sec,P 3.001344 bar
2A4C033	S	C01,P02,FGN,ET 8.75 sec,T 1.25 sec,P 3.001974 bar
514D033	S	C01,P02,FGN,ET 8.80 sec,T 1.20 sec,P 3.002076 bar
0A4E033	S	C01,P02,FGN,ET 8.85 sec,T 1.15 sec,P 3.002444 bar
9C4F033	S	C01,P02,FGN,ET 8.90 sec,T 1.10 sec,P 3.002775 bar
4450033	S	C01,P02,FGN,ET 8.95 sec,T 1.05 sec,P 3.003093 bar
DC51033	S	C01,P02,FGN,ET 9.00 sec,T 1.00 sec,P 3.003376 bar
E452033	S	C01,P02,FGN,ET 9.05 sec,T 0.95 sec,P 3.003640 bar
2E53033	S	C01,P02,FGN,ET 9.10 sec,T 0.90 sec,P 3.003952 bar
0854033	S	C01,P02,FGN,ET 9.15 sec,T 0.85 sec,P 3.004233 bar
4255033	S	C01,P02,FGN,ET 9.20 sec,T 0.80 sec,P 3.004520 bar
6D56033	S	C01,P02,FGN,ET 9.25 sec,T 0.75 sec,P 3.004752 bar
6E57033	S	C01,P02,FGN,ET 9.30 sec,T 0.70 sec,P 3.005058 bar
9758033	S	C01,P02,FGN,ET 9.35 sec,T 0.65 sec,P 3.005297 bar
1059033	S	C01,P02,FGN,ET 9.40 sec,T 0.60 sec,P 3.005609 bar
CE5A033	S	C01,P02,FGN,ET 9.45 sec,T 0.55 sec,P 3.005816 bar
