729C011	T	Start Streaming
130B034	S	C01,P02,SDP,ET 21.05 sec,T 8.95 sec,P 2.992462 bar
940C034	S	C01,P02,SDP,ET 21.10 sec,T 8.90 sec,P 2.992462 bar
5B0D034	S	C01,P02,SDP,ET 21.15 sec,T 8.85 sec,P 2.992462 bar
D40E034	S	C01,P02,SDP,ET 21.20 sec,T 8.80 sec,P 2.992462 bar
B20F034	S	C01,P02,SDP,ET 21.25 sec,T 8.75 sec,P 2.992462 bar
B910034	S	C01,P02,SDP,ET 21.30 sec,T 8.70 sec,P 2.992462 bar
FE11034	S	C01,P02,SDP,ET 21.35 sec,T 8.65 sec,P 2.992462 bar
E412034	S	C01,P02,SDP,ET 21.40 sec,T 8.60 sec,P 2.992462 bar
2C13034	S	C01,P02,SDP,ET 21.45 sec,T 8.55 sec,P 2.992462 bar
2314034	S	C01,P02,SDP,ET 21.50 sec,T 8.50 sec,P 2.992462 bar
6415034	S	C01,P02,SDP,ET 21.55 sec,T 8.45 sec,P 2.992462 bar
6E16034	S	C01,P02,SDP,ET 21.60 sec,T 8.40 sec,P 2.992462 bar
BF17034	S	C01,P02,SDP,ET 21.65 sec,T 8.35 sec,P 2.992462 bar
AA18034	S	C01,P02,SDP,ET 21.70 sec,T 8.30 sec,P 2.992462 bar
ED19034	S	C01,P02,SDP,ET 21.75 sec,T 8.25 sec,P 2.992462 bar
051A034	S	C01,P02,SDP,ET 21.80 sec,T 8.20 sec,P 2.992462 bar
481B034	S	C01,P02,SDP,ET 21.85 sec,T 8.15 sec,P 2.992462 bar
CF1C034	S	C01,P02,SDP,ET 21.90 sec,T 8.10 sec,P 2.992462 bar
001D034	S	C01,P02,SDP,ET 21.95 sec,T 8.05 sec,P 2.992462 bar
5B1E034	S	C01,P02,SDP,ET 22.00 sec,T 8.00 sec,P 2.992462 bar
5E1F034	S	C01,P02,SDP,ET 22.05 sec,T 7.95 sec,P 2.992462 bar
C720034	S	C01,P02,SDP,ET 22.10 sec,T 7.90 sec,P 2.992462 bar
8021034	S	C01,P02,SDP,ET 22.15 sec,T 7.85 sec,P 2.992462 bar
8A22034	S	C01,P02,SDP,ET 22.20 sec,T 7.80 sec,P 2.992462 bar
6923034	S	C01,P02,SDP,ET 22.25 sec,T 7.75 sec,P 2.992462 bar
6624034	S	C01,P02,SDP,ET 22.30 sec,T 7.70 sec,P 2.992462 bar
2125034	S	C01,P02,SDP,ET 22.35 sec,T 7.65 sec,P 2.992462 bar
3B26034	S	C01,P02,SDP,ET 22.40 sec,T 7.60 sec,P 2.992462 bar
F327034	S	C01,P02,SDP,ET 22.45 sec,T 7.55 sec,P 2.992462 bar
E628034	S	C01,P02,SDP,ET 22.50 sec,T 7.50 sec,P 2.992462 bar
A129034	S	C01,P02,SDP,ET 22.55 sec,T 7.45 sec,P 2.992462 bar
792A034	S	C01,P02,SDP,ET 22.60 sec,T 7.40 sec,P 2.992462 bar
2D2B034	S	C01,P02,SDP,ET 22.65 sec,T 7.35 sec,P 2.992462 bar
AA2C034	S	C01,P02,SDP,ET 22.70 sec,T 7.30 sec,P 2.992462 bar
652D034	S	C01,P02,SDP,ET 22.75 sec,T 7.25 sec,P 2.992462 bar
DA2E034	S	C01,P02,SDP,ET 22.80 sec,T 7.20 sec,P 2.992462 bar
972F034	S	C01,P02,SDP,ET 22.85 sec,T 7.15 sec,P 2.992462 bar
9C30034	S	C01,P02,SDP,ET 22.90 sec,T 7.10 sec,P 2.992462 bar
DB31034	S	C01,P02,SDP,ET 22.95 sec,T 7.05 sec,P 2.992462 bar
AD32034	S	C01,P02,SDP,ET 23.00 sec,T 7.00 sec,P 2.992462 bar
6133034	S	C01,P02,SDP,ET 23.05 sec,T 6.95 sec,P 2.992462 bar
6E34034	S	C01,P02,SDP,ET 23.10 sec,T 6.90 sec,P 2.992462 bar
2935034	S	C01,P02,SDP,ET 23.15 sec,T 6.85 sec,P 2.992462 bar
2336034	S	C01,P02,SDP,ET 23.20 sec,T 6.80 sec,P 2.992462 bar
C037034	S	C01,P02,SDP,ET 23.25 sec,T 6.75 sec,P 2.992462 bar
D538034	S	C01,P02,SDP,ET 23.30 sec,T 6.70 sec,P 2.992462 bar
9239034	S	C01,P02,SDP,ET 23.35 sec,T 6.65 sec,P 2.992462 bar
5A3A034	S	C01,P02,SDP,ET 23.40 sec,T 6.60 sec,P 2.992462 bar
173B034	S	C01,P02,SDP,ET 23.45 sec,T 6.55 sec,P 2.992462 bar
903C034	S	C01,P02,SDP,ET 23.50 sec,T 6.50 sec,P 2.992462 bar
5F3D034	S	C01,P02,SDP,ET 23.55 sec,T 6.45 sec,P 2.992462 bar
D03E034	S	C01,P02,SDP,ET 23.60 sec,T 6.40 sec,P 2.992462 bar
843F034	S	C01,P02,SDP,ET 23.65 sec,T 6.35 sec,P 2.992462 bar
3E40034	S	C01,P02,SDP,ET 23.70 sec,T 6.30 sec,P 2.992462 bar
7941034	S	C01,P02,SDP,ET 23.75 sec,T 6.25 sec,P 2.992462 bar
4342034	S	C01,P02,SDP,ET 23.80 sec,T 6.20 sec,P 2.992462 bar
8B43034	S	C01,P02,SDP,ET 23.85 sec,T 6.15 sec,P 2.992462 bar
8444034	S	C01,P02,SDP,ET 23.90 sec,T 6.10 sec,P 2.992462 bar
C345034	S	C01,P02,SDP,ET 23.95 sec,T 6.05 sec,P 2.992462 bar
4A46034	S	C01,P02,SDP,ET 24.00 sec,T 6.00 sec,P 2.992462 bar
F347034	S	C01,P02,SDP,ET 24.05 sec,T 5.95 sec,P 2.992462 bar
E648034	S	C01,P02,SDP,ET 24.10 sec,T 5.90 sec,P 2.992462 bar
A149034	S	C01,P02,SDP,ET 24.15 sec,T 5.85 sec,P 2.992462 bar
794A034	S	C01,P02,SDP,ET 24.20 sec,T 5.80 sec,P 2.992462 bar
1F4B034	S	C01,P02,SDP,ET 24.25 sec,T 5.75 sec,P 2.992462 bar
984C034	S	C01,P02,SDP,ET 24.30 sec,T 5.70 sec,P 2.992462 bar
574D034	S	C01,P02,SDP,ET 24.35 sec,T 5.65 sec,P 2.992462 bar
C84E034	S	C01,P02,SDP,ET 24.40 sec,T 5.60 sec,P 2.992462 bar
854F034	S	C01,P02,SDP,ET 24.45 sec,T 5.55 sec,P 2.992462 bar
8E50034	S	C01,P02,SDP,ET 24.50 sec,T 5.50 sec,P 2.992462 bar
C951034	S	C01,P02,SDP,ET 24.55 sec,T 5.45 sec,P 2.992462 bar
C352034	S	C01,P02,SDP,ET 24.60 sec,T 5.40 sec,P 2.992462 bar
1253034	S	C01,P02,SDP,ET 24.65 sec,T 5.35 sec,P 2.992462 bar
1D54034	S	C01,P02,SDP,ET 24.70 sec,T 5.30 sec,P 2.992462 bar
5A55034	S	C01,P02,SDP,ET 24.75 sec,T 5.25 sec,P 2.992462 bar
6056034	S	C01,P02,SDP,ET 24.80 sec,T 5.20 sec,P 2.992462 bar
A857034	S	C01,P02,SDP,ET 24.85 sec,T 5.15 sec,P 2.992462 bar
BD58034	S	C01,P02,SDP,ET 24.90 sec,T 5.10 sec,P 2.992462 bar
FA59034	S	C01,P02,SDP,ET 24.95 sec,T 5.05 sec,P 2.992462 bar
5E5A034	S	C01,P02,SDP,ET 25.00 sec,T 5.00 sec,P 2.992462 bar
175B034	S	C01,P02,SDP,ET 25.05 sec,T 4.95 sec,P 2.992462 bar
905C034	S	C01,P02,SDP,ET 25.10 sec,T 4.90 sec,P 2.992462 bar
5F5D034	S	C01,P02,SDP,ET 25.15 sec,T 4.85 sec,P 2.992462 bar
D05E034	S	C01,P02,SDP,ET 25.20 sec,T 4.80 sec,P 2.992462 bar
B65F034	S	C01,P02,SDP,ET 25.25 sec,T 4.75 sec,P 2.992462 bar
2F60034	S	C01,P02,SDP,ET 25.30 sec,T 4.70 sec,P 2.992462 bar
6861034	S	C01,P02,SDP,ET 25.35 sec,T 4.65 sec,P 2.992462 bar
7262034	S	C01,P02,SDP,ET 25.40 sec,T 4.60 sec,P 2.992462 bar
BA63034	S	C01,P02,SDP,ET 25.45 sec,T 4.55 sec,P 2.992462 bar
B564034	S	C01,P02,SDP,ET 25.50 sec,T 4.50 sec,P 2.992462 bar
F265034	S	C01,P02,SDP,ET 25.55 sec,T 4.45 sec,P 2.992462 bar
F866034	S	C01,P02,SDP,ET 25.60 sec,T 4.40 sec,P 2.992462 bar
2967034	S	C01,P02,SDP,ET 25.65 sec,T 4.35 sec,P 2.992462 bar
3C68034	S	C01,P02,SDP,ET 25.70 sec,T 4.30 sec,P 2.992462 bar
7B69034	S	C01,P02,SDP,ET 25.75 sec,T 4.25 sec,P 2.992462 bar
936A034	S	C01,P02,SDP,ET 25.80 sec,T 4.20 sec,P 2.992462 bar
DE6B034	S	C01,P02,SDP,ET 25.85 sec,T 4.15 sec,P 2.992462 bar
596C034	S	C01,P02,SDP,ET 25.90 sec,T 4.10 sec,P 2.992462 bar
966D034	S	C01,P02,SDP,ET 25.95 sec,T 4.05 sec,P 2.992462 bar
CD6E034	S	C01,P02,SDP,ET 26.00 sec,T 4.00 sec,P 2.992462 bar
1B6F034	S	C01,P02,SDP,ET 26.05 sec,T 3.95 sec,P 2.992462 bar
1070034	S	C01,P02,SDP,ET 26.10 sec,T 3.90 sec,P 2.992462 bar
5771034	S	C01,P02,SDP,ET 26.15 sec,T 3.85 sec,P 2.992462 bar
5D72034	S	C01,P02,SDP,ET 26.20 sec,T 3.80 sec,P 2.992462 bar
BE73034	S	C01,P02,SDP,ET 26.25 sec,T 3.75 sec,P 2.992462 bar
B174034	S	C01,P02,SDP,ET 26.30 sec,T 3.70 sec,P 2.992462 bar
F675034	S	C01,P02,SDP,ET 26.35 sec,T 3.65 sec,P 2.992462 bar
EC76034	S	C01,P02,SDP,ET 26.40 sec,T 3.60 sec,P 2.992462 bar
2477034	S	C01,P02,SDP,ET 26.45 sec,T 3.55 sec,P 2.992462 bar
3178034	S	C01,P02,SDP,ET 26.50 sec,T 3.50 sec,P 2.992462 bar
7679034	S	C01,P02,SDP,ET 26.55 sec,T 3.45 sec,P 2.992462 bar
AE7A034	S	C01,P02,SDP,ET 26.60 sec,T 3.40 sec,P 2.992462 bar
FA7B034	S	C01,P02,SDP,ET 26.65 sec,T 3.35 sec,P 2.992462 bar
7D7C034	S	C01,P02,SDP,ET 26.70 sec,T 3.30 sec,P 2.992462 bar
B27D034	S	C01,P02,SDP,ET 26.75 sec,T 3.25 sec,P 2.992462 bar
0D7E034	S	C01,P02,SDP,ET 26.80 sec,T 3.20 sec,P 2.992462 bar
407F034	S	C01,P02,SDP,ET 26.85 sec,T 3.15 sec,P 2.992462 bar
BC80034	S	C01,P02,SDP,ET 26.90 sec,T 3.10 sec,P 2.992462 bar
FB81034	S	C01,P02,SDP,ET 26.95 sec,T 3.05 sec,P 2.992462 bar
8D82034	S	C01,P02,SDP,ET 27.00 sec,T 3.00 sec,P 2.992462 bar
4183034	S	C01,P02,SDP,ET 27.05 sec,T 2.95 sec,P 2.992462 bar
4E84034	S	C01,P02,SDP,ET 27.10 sec,T 2.90 sec,P 2.992462 bar
0985034	S	C01,P02,SDP,ET 27.15 sec,T 2.85 sec,P 2.992462 bar
0386034	S	C01,P02,SDP,ET 27.20 sec,T 2.80 sec,P 2.992462 bar
E087034	S	C01,P02,SDP,ET 27.25 sec,T 2.75 sec,P 2.992462 bar
F588034	S	C01,P02,SDP,ET 27.30 sec,T 2.70 sec,P 2.992462 bar
B289034	S	C01,P02,SDP,ET 27.35 sec,T 2.65 sec,P 2.992462 bar
7A8A034	S	C01,P02,SDP,ET 27.40 sec,T 2.60 sec,P 2.992462 bar
378B034	S	C01,P02,SDP,ET 27.45 sec,T 2.55 sec,P 2.992462 bar
B08C034	S	C01,P02,SDP,ET 27.50 sec,T 2.50 sec,P 2.992462 bar
7F8D034	S	C01,P02,SDP,ET 27.55 sec,T 2.45 sec,P 2.992462 bar
F08E034	S	C01,P02,SDP,ET 27.60 sec,T 2.40 sec,P 2.992462 bar
A48F034	S	C01,P02,SDP,ET 27.65 sec,T 2.35 sec,P 2.992462 bar
AF90034	S	C01,P02,SDP,ET 27.70 sec,T 2.30 sec,P 2.992462 bar
E891034	S	C01,P02,SDP,ET 27.75 sec,T 2.25 sec,P 2.992462 bar
D292034	S	C01,P02,SDP,ET 27.80 sec,T 2.20 sec,P 2.992462 bar
1A93034	S	C01,P02,SDP,ET 27.85 sec,T 2.15 sec,P 2.992462 bar
1594034	S	C01,P02,SDP,ET 27.90 sec,T 2.10 sec,P 2.992462 bar
5295034	S	C01,P02,SDP,ET 27.95 sec,T 2.05 sec,P 2.992462 bar
7596034	S	C01,P02,SDP,ET 28.00 sec,T 2.00 sec,P 2.992462 bar
CC97034	S	C01,P02,SDP,ET 28.05 sec,T 1.95 sec,P 2.992462 bar
D998034	S	C01,P02,SDP,ET 28.10 sec,T 1.90 sec,P 2.992462 bar
9E99034	S	C01,P02,SDP,ET 28.15 sec,T 1.85 sec,P 2.992462 bar
469A034	S	C01,P02,SDP,ET 28.20 sec,T 1.80 sec,P 2.992462 bar
209B034	S	C01,P02,SDP,ET 28.25 sec,T 1.75 sec,P 2.992462 bar
A79C034	S	C01,P02,SDP,ET 28.30 sec,T 1.70 sec,P 2.992462 bar
689D034	S	C01,P02,SDP,ET 28.35 sec,T 1.65 sec,P 2.992462 bar
F79E034	S	C01,P02,SDP,ET 28.40 sec,T 1.60 sec,P 2.992462 bar
BA9F034	S	C01,P02,SDP,ET 28.45 sec,T 1.55 sec,P 2.992462 bar
13A0034	S	C01,P02,SDP,ET 28.50 sec,T 1.50 sec,P 2.992462 bar
54A1034	S	C01,P02,SDP,ET 28.55 sec,T 1.45 sec,P 2.992462 bar
5EA2034	S	C01,P02,SDP,ET 28.60 sec,T 1.40 sec,P 2.992462 bar
8FA3034	S	C01,P02,SDP,ET 28.65 sec,T 1.35 sec,P 2.992462 bar
80A4034	S	C01,P02,SDP,ET 28.70 sec,T 1.30 sec,P 2.992462 bar
C7A5034	S	C01,P02,SDP,ET 28.75 sec,T 1.25 sec,P 2.992462 bar
FDA6034	S	C01,P02,SDP,ET 28.80 sec,T 1.20 sec,P 2.992462 bar
35A7034	S	C01,P02,SDP,ET 28.85 sec,T 1.15 sec,P 2.992462 bar
20A8034	S	C01,P02,SDP,ET 28.90 sec,T 1.10 sec,P 2.992462 bar
67A9034	S	C01,P02,SDP,ET 28.95 sec,T 1.05 sec,P 2.992462 bar
C3AA034	S	C01,P02,SDP,ET 29.00 sec,T 1.00 sec,P 2.992462 bar
8AAB034	S	C01,P02,SDP,ET 29.05 sec,T 0.95 sec,P 2.992462 bar
0DAC034	S	C01,P02,SDP,ET 29.10 sec,T 0.90 sec,P 2.992462 bar
C2AD034	S	C01,P02,SDP,ET 29.15 sec,T 0.85 sec,P 2.992462 bar
4DAE034	S	C01,P02,SDP,ET 29.20 sec,T 0.80 sec,P 2.992462 bar
2BAF034	S	C01,P02,SDP,ET 29.25 sec,T 0.75 sec,P 2.992462 bar
B2B0034	S	C01,P02,SDP,ET 29.30 sec,T 0.70 sec,P 2.992462 bar
F5B1034	S	C01,P02,SDP,ET 29.35 sec,T 0.65 sec,P 2.992462 bar
EFB2034	S	C01,P02,SDP,ET 29.40 sec,T 0.60 sec,P 2.992462 bar
27B3034	S	C01,P02,SDP,ET 29.45 sec,T 0.55 sec,P 2.992462 bar
28B4034	S	C01,P02,SDP,ET 29.50 sec,T 0.50 sec,P 2.992462 bar
6FB5034	S	C01,P02,SDP,ET 29.55 sec,T 0.45 sec,P 2.992462 bar
65B6034	S	C01,P02,SDP,ET 29.60 sec,T 0.40 sec,P 2.992462 bar
B4B7034	S	C01,P02,SDP,ET 29.65 sec,T 0.35 sec,P 2.992462 bar
A1B8034	S	C01,P02,SDP,ET 29.70 sec,T 0.30 sec,P 2.992462 bar
E6B9034	S	C01,P02,SDP,ET 29.75 sec,T 0.25 sec,P 2.992462 bar
0EBA034	S	C01,P02,SDP,ET 29.80 sec,T 0.20 sec,P 2.992462 bar
43BB034	S	C01,P02,SDP,ET 29.85 sec,T 0.15 sec,P 2.992462 bar
C4BC034	S	C01,P02,SDP,ET 29.90 sec,T 0.10 sec,P 2.992462 bar
0BBD034	S	C01,P02,SDP,ET 29.95 sec,T 0.05 sec,P 2.992462 bar
5EBE036	S	C01,P02,DPD,ET 30.00 sec,T 10.00 sec,DL 0.224743 dPa
C7BF035	S	C01,P02,DPD,ET 30.05 sec,T 9.95 sec,DL 0.565069 dPa
27C0035	S	C01,P02,DPD,ET 30.10 sec,T 9.90 sec,DL 0.995292 dPa
08C1035	S	C01,P02,DPD,ET 30.15 sec,T 9.85 sec,DL 1.342039 dPa
50C2035	S	C01,P02,DPD,ET 30.20 sec,T 9.80 sec,DL 1.515413 dPa
A3C3035	S	C01,P02,DPD,ET 30.25 sec,T 9.75 sec,DL 1.849317 dPa
A7C4035	S	C01,P02,DPD,ET 30.30 sec,T 9.70 sec,DL 2.048376 dPa
80C5035	S	C01,P02,DPD,ET 30.35 sec,T 9.65 sec,DL 2.568497 dPa
70C6035	S	C01,P02,DPD,ET 30.40 sec,T 9.60 sec,DL 2.806083 dPa
ECC7035	S	C01,P02,DPD,ET 30.45 sec,T 9.55 sec,DL 3.120723 dPa
80C8035	S	C01,P02,DPD,ET 30.50 sec,T 9.50 sec,DL 3.377573 dPa
A9C9035	S	C01,P02,DPD,ET 30.55 sec,T 9.45 sec,DL 3.672950 dPa
85CA035	S	C01,P02,DPD,ET 30.60 sec,T 9.40 sec,DL 4.154544 dPa
FCCB035	S	C01,P02,DPD,ET 30.65 sec,T 9.35 sec,DL 4.282968 dPa
EBCC035	S	C01,P02,DPD,ET 30.70 sec,T 9.30 sec,DL 4.494870 dPa
81CD035	S	C01,P02,DPD,ET 30.75 sec,T 9.25 sec,DL 4.835196 dPa
5DCE035	S	C01,P02,DPD,ET 30.80 sec,T 9.20 sec,DL 5.149836 dPa
77CF035	S	C01,P02,DPD,ET 30.85 sec,T 9.15 sec,DL 5.329631 dPa
ADD0035	S	C01,P02,DPD,ET 30.90 sec,T 9.10 sec,DL 5.830488 dPa
E8D1035	S	C01,P02,DPD,ET 30.95 sec,T 9.05 sec,DL 6.202920 dPa
A3D2035	S	C01,P02,DPD,ET 31.00 sec,T 9.00 sec,DL 6.421242 dPa
C3D3035	S	C01,P02,DPD,ET 31.05 sec,T 8.95 sec,DL 6.594616 dPa
50D4035	S	C01,P02,DPD,ET 31.10 sec,T 8.90 sec,DL 6.819359 dPa
98D5035	S	C01,P02,DPD,ET 31.15 sec,T 8.85 sec,DL 7.313795 dPa
C2D6035	S	C01,P02,DPD,ET 31.20 sec,T 8.80 sec,DL 7.596330 dPa
80D7035	S	C01,P02,DPD,ET 31.25 sec,T 8.75 sec,DL 7.917392 dPa
C8D8035	S	C01,P02,DPD,ET 31.30 sec,T 8.70 sec,DL 8.238454 dPa
CDD9035	S	C01,P02,DPD,ET 31.35 sec,T 8.65 sec,DL 8.578780 dPa
C9DA035	S	C01,P02,DPD,ET 31.40 sec,T 8.60 sec,DL 8.771417 dPa
48DB035	S	C01,P02,DPD,ET 31.45 sec,T 8.55 sec,DL 9.047531 dPa
3CDC035	S	C01,P02,DPD,ET 31.50 sec,T 8.50 sec,DL 9.278696 dPa
BFDD035	S	C01,P02,DPD,ET 31.55 sec,T 8.45 sec,DL 9.728182 dPa
58DE035	S	C01,P02,DPD,ET 31.60 sec,T 8.40 sec,DL 9.985033 dPa
AADF035	S	C01,P02,DPD,ET 31.65 sec,T 8.35 sec,DL 10.30609 dPa
52E0035	S	C01,P02,DPD,ET 31.70 sec,T 8.30 sec,DL 10.56936 dPa
FAE1035	S	C01,P02,DPD,ET 31.75 sec,T 8.25 sec,DL 10.94179 dPa
91E2035	S	C01,P02,DPD,ET 31.80 sec,T 8.20 sec,DL 11.14727 dPa
C1E3035	S	C01,P02,DPD,ET 31.85 sec,T 8.15 sec,DL 11.47476 dPa
09E4035	S	C01,P02,DPD,ET 31.90 sec,T 8.10 sec,DL 11.77013 dPa
A4E5035	S	C01,P02,DPD,ET 31.95 sec,T 8.05 sec,DL 12.01414 dPa
ABE6035	S	C01,P02,DPD,ET 32.00 sec,T 8.00 sec,DL 12.31594 dPa
C0E7035	S	C01,P02,DPD,ET 32.05 sec,T 7.95 sec,DL 12.54068 dPa
39E8035	S	C01,P02,DPD,ET 32.10 sec,T 7.90 sec,DL 12.82964 dPa
A6E9035	S	C01,P02,DPD,ET 32.15 sec,T 7.85 sec,DL 13.15070 dPa
9BEA035	S	C01,P02,DPD,ET 32.20 sec,T 7.80 sec,DL 13.61303 dPa
4EEB035	S	C01,P02,DPD,ET 32.25 sec,T 7.75 sec,DL 13.86346 dPa
70EC035	S	C01,P02,DPD,ET 32.30 sec,T 7.70 sec,DL 14.13957 dPa
64ED035	S	C01,P02,DPD,ET 32.35 sec,T 7.65 sec,DL 14.28084 dPa
F6EE035	S	C01,P02,DPD,ET 32.40 sec,T 7.60 sec,DL 14.80096 dPa
8CEF035	S	C01,P02,DPD,ET 32.45 sec,T 7.55 sec,DL 15.01928 dPa
ACF0035	S	C01,P02,DPD,ET 32.50 sec,T 7.50 sec,DL 15.36603 dPa
26F1035	S	C01,P02,DPD,ET 32.55 sec,T 7.45 sec,DL 15.57151 dPa
7EF2035	S	C01,P02,DPD,ET 32.60 sec,T 7.40 sec,DL 15.89899 dPa
EFF3035	S	C01,P02,DPD,ET 32.65 sec,T 7.35 sec,DL 16.27142 dPa
63F4035	S	C01,P02,DPD,ET 32.70 sec,T 7.30 sec,DL 16.44480 dPa
6EF5035	S	C01,P02,DPD,ET 32.75 sec,T 7.25 sec,DL 16.72091 dPa
3BF6035	S	C01,P02,DPD,ET 32.80 sec,T 7.20 sec,DL 17.04839 dPa
60F7035	S	C01,P02,DPD,ET 32.85 sec,T 7.15 sec,DL 17.61346 dPa
A2F8035	S	C01,P02,DPD,ET 32.90 sec,T 7.10 sec,DL 17.81252 dPa
AFF9035	S	C01,P02,DPD,ET 32.95 sec,T 7.05 sec,DL 18.01158 dPa
75FA035	S	C01,P02,DPD,ET 33.00 sec,T 7.00 sec,DL 18.32622 dPa
7FFB035	S	C01,P02,DPD,ET 33.05 sec,T 6.95 sec,DL 18.64728 dPa
6CFC035	S	C01,P02,DPD,ET 33.10 sec,T 6.90 sec,DL 19.15456 dPa
E5FD035	S	C01,P02,DPD,ET 33.15 sec,T 6.85 sec,DL 19.37289 dPa
CEFE035	S	C01,P02,DPD,ET 33.20 sec,T 6.80 sec,DL 19.50773 dPa
85FF035	S	C01,P02,DPD,ET 33.25 sec,T 6.75 sec,DL 19.87374 dPa
3700035	S	C01,P02,DPD,ET 33.30 sec,T 6.70 sec,DL 20.15628 dPa
9901035	S	C01,P02,DPD,ET 33.35 sec,T 6.65 sec,DL 20.56081 dPa
F102035	S	C01,P02,DPD,ET 33.40 sec,T 6.60 sec,DL 20.65071 dPa
6703035	S	C01,P02,DPD,ET 33.45 sec,T 6.55 sec,DL 21.22862 dPa
4E04035	S	C01,P02,DPD,ET 33.50 sec,T 6.50 sec,DL 21.31210 dPa
5205035	S	C01,P02,DPD,ET 33.55 sec,T 6.45 sec,DL 21.72948 dPa
0A06035	S	C01,P02,DPD,ET 33.60 sec,T 6.40 sec,DL 21.94780 dPa
B207035	S	C01,P02,DPD,ET 33.65 sec,T 6.35 sec,DL 22.28171 dPa
FC08035	S	C01,P02,DPD,ET 33.70 sec,T 6.30 sec,DL 22.70551 dPa
3A09035	S	C01,P02,DPD,ET 33.75 sec,T 6.25 sec,DL 22.97520 dPa
260A035	S	C01,P02,DPD,ET 33.80 sec,T 6.20 sec,DL 23.16142 dPa
B50B035	S	C01,P02,DPD,ET 33.85 sec,T 6.15 sec,DL 23.55953 dPa
EF0C035	S	C01,P02,DPD,ET 33.90 sec,T 6.10 sec,DL 23.84207 dPa
AA0D035	S	C01,P02,DPD,ET 33.95 sec,T 6.05 sec,DL 24.28514 dPa
670E035	S	C01,P02,DPD,ET 34.00 sec,T 6.00 sec,DL 24.60620 dPa
C40F035	S	C01,P02,DPD,ET 34.05 sec,T 5.95 sec,DL 24.70252 dPa
B910035	S	C01,P02,DPD,ET 34.10 sec,T 5.90 sec,DL 25.34464 dPa
1411035	S	C01,P02,DPD,ET 34.15 sec,T 5.85 sec,DL 25.63360 dPa
9512035	S	C01,P02,DPD,ET 34.20 sec,T 5.80 sec,DL 25.89045 dPa
C113035	S	C01,P02,DPD,ET 34.25 sec,T 5.75 sec,DL 26.21151 dPa
6514035	S	C01,P02,DPD,ET 34.30 sec,T 5.70 sec,DL 26.53899 dPa
DB15035	S	C01,P02,DPD,ET 34.35 sec,T 5.65 sec,DL 26.76374 dPa
4D16035	S	C01,P02,DPD,ET 34.40 sec,T 5.60 sec,DL 27.04627 dPa
D117035	S	C01,P02,DPD,ET 34.45 sec,T 5.55 sec,DL 27.21322 dPa
C818035	S	C01,P02,DPD,ET 34.50 sec,T 5.50 sec,DL 27.68839 dPa
1A19035	S	C01,P02,DPD,ET 34.55 sec,T 5.45 sec,DL 28.06725 dPa
D61A035	S	C01,P02,DPD,ET 34.60 sec,T 5.40 sec,DL 28.39473 dPa
711B035	S	C01,P02,DPD,ET 34.65 sec,T 5.35 sec,DL 28.67727 dPa
B51C035	S	C01,P02,DPD,ET 34.70 sec,T 5.30 sec,DL 29.00475 dPa
3C1D035	S	C01,P02,DPD,ET 34.75 sec,T 5.25 sec,DL 29.31939 dPa
F81E035	S	C01,P02,DPD,ET 34.80 sec,T 5.20 sec,DL 29.81383 dPa
A71F035	S	C01,P02,DPD,ET 34.85 sec,T 5.15 sec,DL 29.98078 dPa
4620035	S	C01,P02,DPD,ET 34.90 sec,T 5.10 sec,DL 30.03857 dPa
6921035	S	C01,P02,DPD,ET 34.95 sec,T 5.05 sec,DL 30.65501 dPa
FD22035	S	C01,P02,DPD,ET 35.00 sec,T 5.00 sec,DL 31.09807 dPa
0323035	S	C01,P02,DPD,ET 35.05 sec,T 4.95 sec,DL 31.23292 dPa
3824035	S	C01,P02,DPD,ET 35.10 sec,T 4.90 sec,DL 31.36134 dPa
FA25035	S	C01,P02,DPD,ET 35.15 sec,T 4.85 sec,DL 31.74662 dPa
3626035	S	C01,P02,DPD,ET 35.20 sec,T 4.80 sec,DL 32.00989 dPa
F727035	S	C01,P02,DPD,ET 35.25 sec,T 4.75 sec,DL 32.42085 dPa
EA28035	S	C01,P02,DPD,ET 35.30 sec,T 4.70 sec,DL 32.63917 dPa
2C29035	S	C01,P02,DPD,ET 35.35 sec,T 4.65 sec,DL 32.96665 dPa
612A035	S	C01,P02,DPD,ET 35.40 sec,T 4.60 sec,DL 33.22993 dPa
DB2B035	S	C01,P02,DPD,ET 35.45 sec,T 4.55 sec,DL 33.56383 dPa
812C035	S	C01,P02,DPD,ET 35.50 sec,T 4.50 sec,DL 33.83353 dPa
8E2D035	S	C01,P02,DPD,ET 35.55 sec,T 4.45 sec,DL 34.02616 dPa
B82E035	S	C01,P02,DPD,ET 35.60 sec,T 4.40 sec,DL 34.37933 dPa
922F035	S	C01,P02,DPD,ET 35.65 sec,T 4.35 sec,DL 34.72608 dPa
7430035	S	C01,P02,DPD,ET 35.70 sec,T 4.30 sec,DL 35.02787 dPa
4431035	S	C01,P02,DPD,ET 35.75 sec,T 4.25 sec,DL 35.16272 dPa
D832035	S	C01,P02,DPD,ET 35.80 sec,T 4.20 sec,DL 35.61221 dPa
4C33035	S	C01,P02,DPD,ET 35.85 sec,T 4.15 sec,DL 35.79842 dPa
4B34035	S	C01,P02,DPD,ET 35.90 sec,T 4.10 sec,DL 36.00391 dPa
B635035	S	C01,P02,DPD,ET 35.95 sec,T 4.05 sec,DL 36.16444 dPa
